time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
637,14844658.667252852,3074519.0835905024,17948308.48383949,1.2090751890060802,0.20907518900608024,0.1,0.4976098560665969,0.20711281764752573
638,14847593.83628381,3069836.811388505,17949651.032279987,1.2089265931032895,0.20892659310328954,0.1,0.497277414175733,0.20675651861425456
639,14849574.539150868,3065939.3081785217,17949819.182323433,1.2087766646107454,0.2087766646107454,0.1,0.4973813044842754,0.20646647485388758
640,14851394.672979813,3062215.783607753,17949831.72192787,1.2086293656033034,0.20862936560330336,0.1,0.49670717887733784,0.20619045221248194
641,14853550.070988473,3058395.9336418733,17950436.109979767,1.2084946712530389,0.2084946712530389,0.1,0.49692969634124906,0.2059033644499199
642,14842701.341772031,3055442.33178089,17951242.71050368,1.2094323194379202,0.20943231943792018,0.1,0.4972469181429877,0.20585486842492168
643,14841428.478280932,3051270.0297924355,17952525.477879655,1.2096224769840402,0.20962247698404024,0.1,0.49809447681577645,0.20559139804215537
644,14830727.127804993,3048393.932821748,17953364.28836161,1.2105518585600719,0.21055185856007186,0.1,0.49836397218147144,0.20554581758210275
645,14832900.108491475,3044429.6077399785,17953860.292057358,1.2104079553383635,0.21040795533836354,0.1,0.497897076485742,0.20524843998626516
646,14834284.468362466,3041379.527246952,17953651.79235215,1.2102809428147652,0.21028094281476517,0.1,0.4986082982811071,0.20502367564363455
647,14837973.210952802,3035818.0185431233,17955661.913175855,1.2101155365290523,0.21011553652905235,0.1,0.49833783525478426,0.20459789051931992
648,14837973.210952802,3034143.609631176,17953987.504263908,1.2100026903277457,0.21000269032774566,0.1,0.49857806574677666,0.20448504431801318
649,14839910.112654777,3030484.7995554223,17954304.439786945,1.2098661180215882,0.20986611802158817,0.1,0.4990822024048891,0.20421180293883098
650,14842367.853886724,3204977.065560897,17955154.959697135,1.2097230803368935,0.20972308033689346,0.1,0.49385208912408096,0.21593435071221603
651,14846447.819395198,3199156.596679363,17957709.156859312,1.2095626762247873,0.2095626762247873,0.1,0.49356336952427116,0.21548296505646478
652,14838895.388258625,3196586.9949947917,17957926.94982943,1.2101929746090643,0.21019297460906428,0.1,0.4928426114162032,0.2154194710156197
653,14842598.754836978,3190892.41811255,17959834.02013433,1.2100195064750028,0.21001950647500278,0.1,0.4919747409721713,0.21498205744278348
654,14844611.869564027,3187224.409509946,17960298.194392517,1.209886681592302,0.20988668159230195,0.1,0.4915474778268436,0.21470580959039598
655,14844611.869564027,3185375.5133391577,17958449.298221726,1.2097621316083051,0.20976213160830515,0.1,0.49083485190171805,0.21458125960639948
656,14843993.40001438,3181317.4611980817,17960047.059037037,1.2099201727629196,0.20992017276291963,0.1,0.490537430840815,0.21431681997345808
657,14845739.193437068,3177759.6304131057,17960072.69896179,1.2097796185791472,0.20977961857914718,0.1,0.49000488197336955,0.2140519639344004
658,14847572.886928616,3174185.9867749405,17960262.952490486,1.2096430230898003,0.20964302308980032,0.1,0.4904431261982627,0.21378483951201238
659,14850557.074838798,3169452.559065833,17961654.96312333,1.2094936824663394,0.20949368246633937,0.1,0.4896759948181537,0.21342314251872854
660,14854051.23945931,3163982.052010468,17963356.688710067,1.2093237325714206,0.20932373257142056,0.1,0.49062041036142623,0.2130046544881609
661,14855252.484298266,3161061.7886973624,17962902.13848746,1.209195344035648,0.209195344035648,0.1,0.4917708318843652,0.21279084903057338
662,14859039.723850425,3155662.0486200387,17965276.205911934,1.2090469195715017,0.20904691957150168,0.1,0.49257833380414895,0.21237321571695156
663,14845397.486439457,3152475.7027392043,17966382.24337146,1.2102324818033918,0.21023248180339182,0.1,0.49298526169078793,0.2123537416642994
664,14847977.250183048,3148061.617330971,17967263.462489545,1.2100815592418854,0.21008155924188543,0.1,0.4931260992749176,0.21201956093326862
665,14849686.366388967,3144619.401650225,17967329.43270516,1.209946728125701,0.20994672812570103,0.1,0.49238687949787563,0.21176335473103391
666,14853067.205180494,3139447.2595515586,17969096.90707331,1.2097903186492014,0.2097903186492014,0.1,0.4918579639625902,0.21136693291582048
667,14855094.818875536,3135364.4567864547,17969176.048208553,1.2096305185057539,0.20963051850575387,0.1,0.49152933290084766,0.2110632409294704
668,14856607.378710698,3132278.5188636915,17969194.83836849,1.2095086300872488,0.20950863008724885,0.1,0.4923570121933665,0.21083403761158828
669,14859668.160968812,3127398.6786801396,17970597.656504225,1.2093539008971106,0.2093539008971106,0.1,0.492204205385363,0.2104622152259584
670,14863158.566248873,3122219.757310866,17972583.25123613,1.2092034927251674,0.20920349272516736,0.1,0.4928689966361959,0.21006435095167283
671,14864712.263364974,3119052.776732427,17972605.438422322,1.2090785963423556,0.2090785963423556,0.1,0.4920564782672774,0.2098293408893982
672,14866359.192588773,3115755.446829348,17972688.6474523,1.20895024898982,0.20895024898982006,0.1,0.49164670117630505,0.2095842974373056
673,14868483.051840214,3112019.0404875255,17973311.741679225,1.2088194659141598,0.20881946591415979,0.1,0.4914605569765347,0.20930306270230864
674,14869737.724099372,3109102.458527361,17972970.53961943,1.2086945226001298,0.20869452260012977,0.1,0.4906579380112295,0.20908926009424103
675,14871010.473501641,3106187.5147802057,17972668.081487462,1.2085707365691527,0.2085707365691527,0.1,0.49063196826666755,0.20887534981668257
676,14873609.934547478,3101838.5001627994,17973654.802700985,1.208425855040942,0.2084258550409419,0.1,0.49111494484404283,0.20854644661334337
677,14877742.049379379,3095879.981326878,17976177.993256863,1.2082598242121516,0.2082598242121516,0.1,0.49145819414237435,0.20808802646608743
678,14847199.670251388,3094831.4919620114,17977139.801544484,1.2108101326046288,0.21081013260462877,0.1,0.49099902079548396,0.2084454685527652
679,14844727.144124651,3091879.4460327313,17977019.003786404,1.2110036667734558,0.21100366677345583,0.1,0.491991285361812,0.20828132548441328
680,14840877.304662852,3088232.046907468,17977678.782484278,1.2113622674338718,0.21136226743387176,0.1,0.4923003567555213,0.20808958820360146
681,14841734.947760534,3085569.7343591237,17976776.8952417,1.2112315007993195,0.21123150079931952,0.1,0.4917014407937994,0.20789818341451413
682,14828846.074661922,3085364.35557217,17975282.629144885,1.2121835062985302,0.21218350629853022,0.1,0.49150024187411523,0.20806503351896938
683,14831347.501550172,3081110.3968460527,17976163.17824202,1.2120384325404792,0.21203843254047916,0.1,0.49122440520726385,0.20774311953273397
684,14833518.987347834,3077090.066932206,17976600.108649693,1.2118904572800786,0.2118904572800786,0.1,0.4915581906478186,0.20744167783496234
685,14836851.386232737,3072079.2938748593,17978429.52277715,1.2117415652932613,0.21174156529326127,0.1,0.49238364611628316,0.2070573610197021
686,14841038.354336532,3065977.039996816,17980921.571849,1.211567623676075,0.21156762367607507,0.1,0.4919761510742926,0.20658777147496163
687,14842578.652085708,3062733.4416802903,17980839.637333415,1.211436372264513,0.21143637226451295,0.1,0.49235888444578046,0.2063477993596422
688,14838626.692108562,3058877.8852105453,17981951.962260574,1.2118339746240592,0.21183397462405917,0.1,0.4934393623675568,0.20614292337695303
689,14842162.926580768,3053619.278362182,17983951.941960424,1.2116799977820645,0.21167999778206448,0.1,0.49472119285204186,0.20573950666539767
