time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
601,21092885.790308215,3106031.5288955546,24313473.000497423,1.1526859454986955,0.15268594549869552,0.1,0.5341829649847725,0.14725493513660032
602,21092885.790308215,3102736.164241,24310177.635842867,1.1525297144031823,0.1525297144031823,0.1,0.535092074780454,0.14709870404108713
603,21094781.408201512,3097421.445230171,24308753.92198144,1.1523586545689615,0.15235865456896147,0.1,0.5358378306285889,0.14683354073656882
604,21098431.80944813,3090334.6907830527,24309160.096408956,1.1521785275777237,0.15217852757772365,0.1,0.5361252515820549,0.1464722458376818
605,21075431.801384494,3088484.4076632354,24307834.17547895,1.1533730081811235,0.15337300818112354,0.1,0.5357274346456851,0.1465443003383848
606,21071988.202074748,3084423.812258266,24306784.963527933,1.153511701431889,0.15351170143188897,0.1,0.5356154291590958,0.14637554760753774
607,21060768.44605143,3079823.06208834,24306359.746983614,1.1541060246327661,0.15410602463276613,0.1,0.5363424720985916,0.14623507541890093
608,21044295.491605807,3075317.582776931,24306240.97648308,1.1550037864740308,0.1550037864740308,0.1,0.5362565938938191,0.1461354495807959
609,20998034.50385209,3074110.931099196,24306321.01490262,1.1575521990138469,0.15755219901384687,0.1,0.5361543975515399,0.14639993712436514
610,20999680.34954035,3069661.251918803,24305249.65055602,1.157410457968615,0.15741045796861508,0.1,0.5362065816242452,0.14617657034889073
611,20983725.784294516,3065116.5411222694,24305898.72878567,1.158321404818284,0.15832140481828394,0.1,0.5351847841709763,0.14607113020016624
612,20985363.666274887,3060305.870765323,24304450.02670422,1.1581619653207802,0.1581619653207802,0.1,0.5346719935315096,0.1458304902136851
613,20971660.140000496,3056312.2702323007,24303848.930001847,1.1588900815556165,0.15889008155561646,0.1,0.5339357905849442,0.14573535189056466
614,20953743.051814456,3053720.7350300285,24301915.836784568,1.1597887678917673,0.15978876789176732,0.1,0.5337546121873766,0.14573628814091985
615,20946524.78371301,3049189.146328255,24301826.822407063,1.1601841867966076,0.16018418679660762,0.1,0.533577449781476,0.1455701686944822
616,20946524.78371301,3045925.10475338,24298562.78083219,1.1600283594405867,0.1600283594405867,0.1,0.5335960591166113,0.14541434133846118
617,20946524.78371301,3042578.9824223723,24295216.65850118,1.1598686134986913,0.1598686134986913,0.1,0.5328659207512798,0.14525459539656585
618,20933453.0707219,3039667.8522389675,24292817.879791882,1.1604782926983261,0.16047829269832614,0.1,0.5323829287100581,0.1452062324342624
619,20936981.599203087,3032900.0073937858,24293292.80393439,1.1603053997458284,0.16030539974582836,0.1,0.5320124470653935,0.1448585123420668
620,20939408.260245353,3027229.109724612,24292602.947351974,1.160137986968469,0.16013798696846893,0.1,0.5313365055188874,0.14457090057659255
621,20893858.1843529,3026356.2753004865,24292551.17407272,1.1626646912088763,0.16266469120887628,0.1,0.5298595179684356,0.14484430058814507
622,20896801.229801867,3020290.6352061313,24292526.52200518,1.1624997651487692,0.16249976514876918,0.1,0.5300945775696406,0.1445336346932735
623,20892394.547145545,3016960.4718085225,24290029.290288344,1.1626254346037614,0.16262543460376144,0.1,0.528943576763168,0.14440472416890668
624,20893675.164853517,3012380.1058164835,24288077.560644247,1.1624607623603076,0.1624607623603076,0.1,0.528856164100951,0.14417665068727525
625,20897975.788413126,3004985.622721365,24289510.673276752,1.1622901145643043,0.1622901145643043,0.1,0.5294588349820208,0.14379314308457944
626,20899260.17928887,3000685.518008632,24287846.94983528,1.1621390777222103,0.16213907772221026,0.1,0.5291661311655194,0.14357855217201929
627,20902412.56740783,2994240.9956343523,24287873.11886308,1.1619650621925834,0.16196506219258344,0.1,0.52888584624155,0.1432485836732136
628,20903952.967448406,2989776.585636394,24286570.582632616,1.1618171271458377,0.16181712714583774,0.1,0.5286788772799922,0.14302446002878347
629,20906839.143477485,2983676.390743255,24286394.643799163,1.1616483236480075,0.16164832364800752,0.1,0.5281174274400953,0.14271293571769325
630,20908577.701075353,2979095.95700065,24285382.82828377,1.1615033397051557,0.16150333970515574,0.1,0.5282421445364442,0.14248199947371032
631,20911222.14736501,2973512.970477445,24285227.91572354,1.161349047156657,0.161349047156657,0.1,0.5281932512147403,0.1421969959250867
632,20899224.45954093,2970052.360503935,24283801.920812175,1.16194751474264,0.1619475147426399,0.1,0.5284255892137311,0.142113041862089
633,20902079.72043893,2964146.116970156,24283756.475963768,1.1617866164876451,0.16178661648764514,0.1,0.5288596253830533,0.14181106170366814
634,20904462.942515086,2958896.5669887257,24283398.802875508,1.161637056625282,0.16163705662528205,0.1,0.529912996783005,0.14154377345762756
635,20907453.80504066,2952506.533574644,24283147.90832971,1.1614588813524098,0.16145888135240982,0.1,0.5305473039524409,0.14121789105007193
636,20906309.66783307,2947297.7388830134,24282874.73753388,1.1615093779509096,0.16150937795090958,0.1,0.5307829127669268,0.1409764700566831
637,20909339.05540119,2940978.766854106,24282773.982092172,1.1613362774286053,0.16133627742860535,0.1,0.5301213339751996,0.14065383697981634
638,20911144.50045966,2936201.574800551,24281702.70357968,1.1611847789127911,0.16118477891279115,0.1,0.5299146111810213,0.14041324111819936
639,20912176.18127239,2931851.331261274,24279470.120656006,1.1610207330980287,0.16102073309802867,0.1,0.530009398598279,0.14019828954419639
