time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
154,23037231.72636882,2063829.1267086624,24405851.173297387,1.0594090237570524,0.05940902375705237,0.9940590976242948,0.6258381569952953,0.08958668086610283
155,23026331.824214492,2073874.5547824898,24406066.11820864,1.0599198476130367,0.0599198476130367,0.9940080152386963,0.6258187612584711,0.09006534651783325
156,23027392.777886864,2071896.6645786013,24406265.975016467,1.0598796924354255,0.05987969243542546,0.9940120307564575,0.6256458047605467,0.08997530395921494
157,23006416.007053096,2091883.890113327,24405276.429717425,1.0608030569487867,0.06080305694878674,0.9939196943051213,0.62495908697575,0.0909261090241964
158,23007396.610797007,2090137.732752669,24405543.090567943,1.0607694344311345,0.06076943443113447,0.9939230565568865,0.6248785441368612,0.09084633816291063
159,23007772.293998104,2088995.0277671956,24405171.524784725,1.0607359640442526,0.06073596404425263,0.9939264035955747,0.6242048259674391,0.09079518873333682
160,23008440.215494152,2087499.0586491928,24405046.552421775,1.0606997399148828,0.060699739914882755,0.9939300260085118,0.6242223892638312,0.09072753472629781
161,23006917.332876157,2088114.3829455639,24406749.635349277,1.0608439749758567,0.060843974975856696,0.9939156025024143,0.6233121730841922,0.09076028538433153
162,22989569.41931838,2104415.222459371,24406572.831223834,1.0616367964993172,0.06163679649931719,0.9938363203500683,0.6224170854758053,0.09153782674550696
163,22979235.344224166,2114024.195726967,24406113.43852294,1.0620942373810283,0.06209423738102826,0.9937905762618972,0.6226192771028545,0.09199715151785184
164,22979235.344224166,2113286.6121898084,24405375.85498578,1.062062139553311,0.06206213955331097,0.993793786044669,0.6226123306793114,0.09196505369013436
165,22922010.9794332,2169558.568401146,24405171.66279979,1.0647046493737986,0.0647046493737986,0.9935295350626201,0.6222941993333186,0.09464957373712912
166,22924329.652171485,2166101.166665726,24406473.641948227,1.0646537548650348,0.06465375486503477,0.9935346245134965,0.6216756811689488,0.09448918243332555
167,22925769.706526086,2163789.7169456887,24407118.093271837,1.0646149902798714,0.06461499027987139,0.9935385009720129,0.6220320123848526,0.09438242399903986
168,22920994.028683662,2167781.903966805,24407294.726508908,1.0648445131116595,0.06484451311165951,0.9935155486888341,0.622020372314392,0.09457626057814122
169,22875370.474925183,2212558.5798518653,24407642.12953606,1.0669834683678883,0.06698346836788827,0.9933016531632112,0.6210270578276429,0.09672230586504203
170,22876942.590442605,2210120.5884296764,24408431.112070676,1.0669446328141718,0.06694463281417184,0.9933055367185828,0.6209313850014309,0.0966090892474857
171,22878435.628150746,2207798.250113917,24409173.430103205,1.0669074506155904,0.06690745061559045,0.9933092549384409,0.6207308835953473,0.09650127683543774
172,22879297.693400197,2206041.5520154666,24409186.23435889,1.0668678104310871,0.06686781043108714,0.9933132189568913,0.6203108200470218,0.09642085966003341
173,22879981.663054846,2204574.2221959997,24409122.842251606,1.0668331470591133,0.06683314705911325,0.9933166852940887,0.6200682850133457,0.09635384567443983
174,22879981.663054846,2203704.0913015194,24408252.711357124,1.0667951168321972,0.06679511683219719,0.9933204883167803,0.6193371604592004,0.09631581544752381
175,22881810.940200545,2200826.1136647034,24409129.56575622,1.0667481533497143,0.06674815334971429,0.9933251846650286,0.6189633759705992,0.09618233973772246
176,22865234.026081093,2216335.937425125,24409744.65917707,1.0675484288214256,0.06754842882142564,0.9932451571178574,0.618247257267351,0.09693038500708431
177,22866519.852200404,2213983.9167610337,24410031.965810504,1.067500963136792,0.06750096313679199,0.9932499036863208,0.6178195278167915,0.09682207572780194
178,22862929.715842,2216703.4412073544,24409161.353898425,1.0676305118055374,0.06763051180553736,0.9932369488194462,0.6175275050385582,0.09695622865303101
179,22858634.458713435,2219965.835557518,24409270.07269421,1.0678358813069733,0.06783588130697327,0.9932164118693027,0.6165728892357003,0.09711716767539864
180,22851009.70614656,2226750.5427489183,24408430.02731874,1.0681554268804698,0.06815542688046983,0.993184457311953,0.616202414031964,0.09744648360767873
181,22847706.794225454,2229249.354047871,24407852.68639145,1.0682845725488874,0.06828457254888742,0.9931715427451112,0.6158967125997201,0.09756993881816153
182,22848665.45656182,2227423.824666374,24407994.93759511,1.0682459762911656,0.06824597629116558,0.9931754023708834,0.6154301764171952,0.0974859485295098
183,22849458.023146786,2225824.4670102983,24408022.42713976,1.0682101257025058,0.06821012570250584,0.9931789874297494,0.6152971985438296,0.09741257165730191
184,22851410.253191486,2223041.4815779626,24409246.65074655,1.0681724401380215,0.06817244013802148,0.9931827559861979,0.6155132936025831,0.09728246339927694
185,22852409.426409975,2221273.8125320957,24409529.916201793,1.0681381319902439,0.06813813199024388,0.9931861868009756,0.615289264828252,0.09720085839023274
186,22848353.85521906,2224429.589521409,24410105.256343514,1.0683529067792215,0.06835290677922146,0.9931647093220779,0.6155040263953118,0.09735622984556068
187,22824889.749895133,2247078.783253117,24409290.344751295,1.0694154763601187,0.06941547636011869,0.9930584523639882,0.6159764457374104,0.09844861499335132
188,22826348.90828877,2244867.5463631074,24410074.22245875,1.0693814556385273,0.06938145563852727,0.9930618544361473,0.6156296406358499,0.09834544961099516
189,22823235.090042222,2246834.1457472825,24409422.757023837,1.0694988094686746,0.0694988094686746,0.9930501190531326,0.6150044800514205,0.09844503361960182
190,22823235.090042222,2245841.060870239,24408429.672146793,1.0694552974567655,0.06945529745676549,0.9930544702543235,0.6145715655082373,0.09840152160769267
191,22803685.29563599,2264518.1232245686,24408617.404316846,1.0703803831649965,0.07038038316499651,0.9929619616835004,0.6140138967445623,0.09930491908945684
192,22805043.97648613,2262160.9303027834,24409049.08261377,1.0703355410224817,0.07033554102248174,0.9929664458977518,0.613409426093471,0.0991956399047183
193,22792255.830495734,2274018.780966129,24408811.794249393,1.0709256677257337,0.07092566772573372,0.9929074332274266,0.6134840091138096,0.09977155389435048
194,22786681.79071182,2278887.9057083735,24408106.87920772,1.0711567003650708,0.07115670036507082,0.992884329963493,0.6133818354312821,0.10000964276585812
195,22786681.79071182,2277911.006637586,24407129.980136935,1.0711138288719875,0.07111382887198747,0.9928886171128013,0.6130953973050783,0.09996677127277458
196,22783013.150502414,2280636.8907638076,24407642.016238432,1.071308779703715,0.07130877970371508,0.9928691220296285,0.61316753694307,0.10010251390797774
197,22784319.9499682,2278594.754421539,24408282.257747,1.071275434656151,0.07127543465615105,0.9928724565343849,0.6136399794989775,0.10000714348398708
198,22780962.08365464,2281047.5691642514,24409052.798403095,1.0714671623072765,0.07146716230727646,0.9928532837692724,0.6141112172473973,0.10012955382603904
